MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367165430,2024-01-01T00:00:27,40.67069,-74.08483,0,212.5,242,BRUCE A MCALLISTER,IMO7391018,WDD5894,52,5,37,10,4.1,52,A
368006350,2024-01-01T00:00:28,47.628,-122.39395,0,360,511,SLACK TIDE,IMO0000000,WDJ7400,37,,20,6,,,B
368179120,2024-01-01T00:00:33,48.51407,-122.60796,0,155.4,511,KINTAIL,IMO0000000,WDL9438,37,,12,6,,,B
338074638,2024-01-01T00:00:34,27.83899,-97.06509,0,122.5,511,BRAND NAME,IMO0000000,,37,,0,0,,,B
338137048,2024-01-01T00:00:41,28.40762,-80.67773,0,194.4,511,CHANGES IN LATTITDE,IMO0000000,,37,,12,4,,,B
368216950,2024-01-01T00:00:42,47.33127,-122.58136,0,360,511,MEGA WACHT,IMO0000000,WDM5545,37,,13,4,,,B
338211588,2024-01-01T00:00:47,47.62821,-122.39341,0,245.9,511,SEA ADDLED,IMO0000000,,37,,15,5,,,B
367614930,2024-01-01T00:00:09,29.94545,-90.01725,0,1.7,301,NOLAN RHODES,IMO101251937,WDH4174,31,12,120,34,2.9,57,A
368242090,2024-01-01T00:00:03,39.00673,-76.404,0,315,511,GALE,IMO100634934,WDM8302,52,0,20,8,0,52,A
368093130,2024-01-01T00:00:01,27.82266,-97.44563,2.8,55.7,61,APOLLO,IMO9885582,WDK8333,52,0,30,13,6.3,52,A
368249880,2024-01-01T00:00:08,37.9112,-122.34683,0,360,511,SNUG HARBOR,IMO0000000,WDM9135,37,,15,4,,,B
338379012,2024-01-01T00:00:09,29.54092,-95.07493,0,360,511,BONA FIDE,IMO0000000,BONA FI,37,,0,0,,,B
367130910,2024-01-01T00:00:09,41.4556,-70.59939,0,331.3,265,ISLAND HOME,IMO9410478,WDD3413,60,0,78,20,4,60,A
244126356,2024-01-01T00:00:11,17.95347,-66.61171,3.6,308.9,511,ALANI,IMO0000000,PE3886,36,,15,4,,,B
367057260,2024-01-01T00:00:10,29.42728,-94.71532,0,292.9,78,MARTIN J PELLEGRIN,IMO8891481,WDC6505,31,12,19,9,3.1,31,A
